,product,category,sub_category,brand,sale_price,market_price,image_url,p_url,type,eancode,rating,description
4229,Orange Bite Jhatkaa Candy,Snacks & Branded Foods,Chocolates & Candies,Parle,50.0,50.0,https://www.bigbasket.com/media/uploads/p/mm/104269_5-parle-orange-bite-jhatkaa-candy.jpg,https://www.bigbasket.com/pd/104269/parle-orange-bite-jhatkaa-candy-289-g-pouch/,"Toffee, Candy & Lollypop",8901719240591,4.3,"This delicious orange candy from Parle is a hard-boiled candy available to the users in a double twisted wrap, which ensures that the flavors remain intact. Parle has become a household name in the food industry, and is well-known for its collection of candies, biscuits, cookies, cakes, snacks and more."
4230,Whole Almond Bar,Snacks & Branded Foods,Chocolates & Candies,Hersheys ,123.2,140.0,https://www.bigbasket.com/media/uploads/p/mm/40185851_1-hersheys-whole-almond-bar.jpg,https://www.bigbasket.com/pd/40185851/hersheys-whole-almond-bar-100-g/,Chocolates,Invalid Code,4.0,"Hershey's Whole Almond Bars come with the goodness of whole almonds. These wholesome, tasty and delicious bars offer a delectable taste in every bite to satisfy your sweet urges."
4231,Sugar Free Chewing Gum - Mixed Fruit,Snacks & Branded Foods,Chocolates & Candies,Orbit,5.0,5.0,https://www.bigbasket.com/media/uploads/p/mm/40024675_5-orbit-sugar-free-chewing-gum-mixed-fruit.jpg,https://www.bigbasket.com/pd/40024675/orbit-sugar-free-chewing-gum-mixed-fruit-44-g-pouch/,Mints & Chewing Gum,Invalid Code,4.2,"There are occasions in everyone’s day when they need to find their inner conviction and believe in themselves. Wrigley’s Orbit gives you the confidence needed to rise to the occasion and seize the moment. This sugar-free chewing gum gives you clean and healthy teeth and lets you focus on yourself, while its smooth and refreshing flavour gives you the readiness to make the most of your moment and emerge out stronger than who you were. Now be fresh breath ready with Orbit, even with the mask on! You can always count on Orbit chewing gum for a clean and fresh mouthfeel. The fruity flavour of Orbit Mixed Fruit indulges you in a blast of long-lasting freshness. Now pop a piece of your favourite chewing gum and make the first move. Don’t let self-doubt erode your confidence; after all, it’s your ‘Time to Shine’. The convenient pocket-friendly size pouch is easy to carry when you are on the move for a fresh and confident feel. Storage Information: Store in a cool & dry condition. Consume soon after opening."
4232,Chewy Candy Stick - Mint Flavour,Snacks & Branded Foods,Chocolates & Candies,Mentos,15.0,15.0,https://www.bigbasket.com/media/uploads/p/mm/40094197_2-mentos-chewy-candy-stick-mint-flavour.jpg,https://www.bigbasket.com/pd/40094197/mentos-chewy-candy-stick-mint-flavour-364-g/,"Toffee, Candy & Lollypop",Invalid Code,4.3,"Mentos Mint Flavour Chewy Candies - Who says no to Mentos Round chewy dragees which are crunchy outside and chewy inside. Mentos helps in connecting with people. With its perfect balance of sweetness and mint, Mentos has become popular worldwide. Pop one of these chewy mint candies for cool breath and make the most of the moment Experience freshness of mint and refreshing breath with Mentos, Now bigger, softer & better."
4233,Creamy Milk Bar,Snacks & Branded Foods,Chocolates & Candies,Hersheys ,114.4,130.0,https://www.bigbasket.com/media/uploads/p/mm/40185853_1-hersheys-creamy-milk-bar.jpg,https://www.bigbasket.com/pd/40185853/hersheys-creamy-milk-bar-100-g/,Chocolates,Invalid Code,4.2,"Hershey's Creamy Milk Bars come with the goodness of creamy milk. These wholesome, tasty and delicious bars offer a delectable taste in every bite to satisfy your sweet urges."
4234,"Mint - Sugarfree, Peppermint Flavour",Snacks & Branded Foods,Chocolates & Candies,Center Fresh,50.0,50.0,https://www.bigbasket.com/media/uploads/p/mm/1213055_3-center-fresh-mint-sugarfree-peppermint-flavour.jpg,https://www.bigbasket.com/pd/1213055/center-fresh-mint-sugarfree-peppermint-flavour-5x15-pcs/,Mints & Chewing Gum,Invalid Code,4.3,"All new Center Fresh Mints, Chali Hawa Mastaani! Sugar-free 3 layered mints in refreshing peppermint flavour. Life is full of chances that can provide big opportunities when your big moment arrives. Good thing is, with all-new Center Fresh Mints, you are prepared for a fresh beginning, anytime, anywhere. 
Pop one of these refreshing mints, for getting a fresh breath. These are the perfect offering for freshness to remain confident anytime, anywhere. The easy to carry, re-sealable dispenser pack allows you to enjoy the refreshing flavour with fewer calories, anywhere. All new Center Fresh 3 layered sugar-free mints to boost your confidence."
4235,Choco Deck - French Dessert Inspired Layered Bar,Snacks & Branded Foods,Chocolates & Candies,Fabelle,20.0,25.0,https://www.bigbasket.com/media/uploads/p/mm/40206217_2-fabelle-choco-deck-french-dessert-inspired-layered-bar.jpg,https://www.bigbasket.com/pd/40206217/fabelle-choco-deck-french-dessert-inspired-layered-bar-195-g/,Chocolates,Invalid Code,3.9,"Fabelle Choco Deck is a unique multi-layered chocolate experience with three irresistible layers of chocolate.  Now introducing Fabelle Choco French Dessert Layered Bar where the bar is inspired from the French Dessert - Mille Feuille. The middle layer is made of soft choco creme, nuts and crisps cradled between two layers of Milk Chocolate thereby re-creating the iconic French dessert."
4236,Soft Centres Chocolate - Choco Mousse,Snacks & Branded Foods,Chocolates & Candies,Fabelle,136.0,170.0,https://www.bigbasket.com/media/uploads/p/mm/40153803_8-fabelle-soft-centres-chocolate-choco-mousse.jpg,https://www.bigbasket.com/pd/40153803/fabelle-soft-centres-chocolate-choco-mousse-128-g/,Chocolates,Invalid Code,4.4,"Break the milk chocolate shell to discover the luxurious choco mousse, Fabelle Soft Centres – Choco Mousse has been inspired by center-filled desserts. Expertly crafted by Master Chocolatiers from the House of ITC, these premium milk chocolate bars have been created with premium ingredients in India. It gives you 4 reasons to indulge in them; Awaken Your Senses,  Feel the smooth and silky texture of the chocolate. Listen to the distinct snap as you break a piece of this chocolate bar. 
Relax and unwind with a dessert-like experience in a chocolate bar. Gift your loved ones this beautifully packaged premium centre-filled milk chocolate to make the occasion even more special. From selecting the highest-quality ingredients to creating every piece of chocolate, these chocolates have been designed to give you a sinful chocolaty thrill."
4237,Gold Caramel Candy,Snacks & Branded Foods,Chocolates & Candies,ALPENLIEBE,100.0,100.0,https://www.bigbasket.com/media/uploads/p/mm/40159655_3-alpenliebe-gold-caramel-candy.jpg,https://www.bigbasket.com/pd/40159655/alpenliebe-gold-caramel-candy-100-pcs-pouch/,Chocolates,Invalid Code,4.4,"Your trusted brand, Alpenliebe is known for its exceptionally smooth and creamy, melt-in-your-mouth qualities. Full of milky richness, Alpenliebe Gold is a fun-filled candy to have at any time of the day. Show your loved ones how much they mean to you by sharing Alpenliebe candies with them Alpenliebe – bring hearts closer"
4238,Rainbow Assorted Flavour Chewy Candy,Snacks & Branded Foods,Chocolates & Candies,Mentos,50.0,50.0,https://www.bigbasket.com/media/uploads/p/mm/40107655_6-mentos-rainbow-assorted-flavour-chewy-candy.jpg,https://www.bigbasket.com/pd/40107655/mentos-rainbow-assorted-flavour-chewy-candy-46-pcs-pouch/,"Toffee, Candy & Lollypop",Invalid Code,4.3,"Mentos Rainbow - Who says no to Mentos Discover the exciting taste of Mentos Rainbow, a mix of watermelon, cherry, orange, raspberry, grape, pineapple and strawberry. Round chewy candies that are crunchy outside and chewy inside. Now Bigger, Softer & Better. Experience goodness of fruit with real fruit content in vibrant colours that make your dull moments fun. With its perfect balance of sweetness and rich flavours, Mentos has become popular worldwide."
